Brand Label Serial Number,Brand Label Name,License Type Code,License Class Code,License Class Description,Product Description,Wholesaler License Serial Number,Wholesaler Name,Domestic (D) or Imported (I),Brand Label Expiration Date
5143624,SINGLECUT BEERSMITHS 19-33 PILSNER,650,G,NO FEE BEER,BEER LAGER,1264215,SINGLECUT BEERSMITHS LLC,D,01/31/2018
5143625,SINGLECUT BEERSMITHS BOB SUNBURST,650,G,NO FEE BEER,FINISH INDIA PALE LAGER BEER LAGER,1264215,SINGLECUT BEERSMITHS LLC,D,01/31/2018
5002477,ARBOR MIST STRAWBERRY WHITE ZIN,654,W ,WINE PRODUCT,WINE SPECIALTY,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5002478,ARBOR MIST EXOTIC FRUITS,654,W ,WINE PRODUCT,WINE PRODUCT,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5002479,ARBOR MIST PEACH CHARDONNAY,654,W ,WINE PRODUCT,WINE PRODUCT,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5002480,ARBOR MIST TROPICAL CHARDONNAY,654,W ,WINE PRODUCT,WINE PRODUCT,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5002481,ARBOR MIST SANGRIA ZINFANDEL,654,W ,WINE PRODUCT,WINE PRODUCT,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5003597,PEACH ORCHARD FARMS CRANBERRY CHABLIS,654,W ,WINE PRODUCT,WINE PRODUCT,3155562,GLENORA WINE CELLARS INC,D,02/28/2018
5003598,PEACH ORCHARD FARMS BLUEBERRY,654,W ,WINE PRODUCT,WINE PRODUCT,3155562,GLENORA WINE CELLARS INC,D,02/28/2018
5003599,PEACH ORCHARD FARMS RASPBERRY,654,W ,WINE PRODUCT,WINE PRODUCT,3155562,GLENORA WINE CELLARS INC,D,02/28/2018
5003600,PEACH ORCHARD FARMS PEACH PASSION,654,W ,WINE PRODUCT,WINE PRODUCT,3155562,GLENORA WINE CELLARS INC,D,02/28/2018
5000533,BARTENURA MOSCATO D'ASTI,654,L,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287051,ROYAL WINE CORPORATION,I,02/28/2018
5000537,RASHI PINK CONCORD,654,W ,WINE PRODUCT,WINE PRODUCT 6% ALCOHOL,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5000538,RASHI RED CONCORD,654,W ,WINE PRODUCT,WINE PRODUCT 6% ALCOHOL,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5000539,RASHI WHITE CONCORD,654,W ,WINE PRODUCT,WINE PRODUCT 6% ALCOHOL,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5000545,FRANCO VITALE BRUT SPUMANTE,654,W ,WINE PRODUCT,WINE PRODUCT,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5100092,DOCS DRAFT,654,C,CIDER - NO FEE,HARD CIDER,2008197,WARWICK VALLEY WINE CO INC,D,02/28/2018
5100093,DOCS FRAMBOISE RASPBERRY CIDER,654,C ,CIDER - NO FEE,RASPBERRY FLAVORED CIDER,2008197,WARWICK VALLEY WINE CO INC,D,02/28/2018
5100207,RASHI JOYVIN WHITE 6%,654,L ,WINE - LOW ALCOHOL,WINE 6%,1287051,ROYAL WINE CORPORATION,I,02/28/2018
5100243,RASHI JOYVIN RED 6%,654,L ,WINE - LOW ALCOHOL,WINE 6%,1287051,ROYAL WINE CORPORATION,I,02/28/2018
5100275,ARBOR MIST BLACKBERRY MERLOT,654,W ,WINE PRODUCT,WINE PRODUCT,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5100276,ARBOR MIST CRANBERRY TWIST,654,W ,WINE PRODUCT,WINE PRODUCT,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5100509,KEDEM CONCORD KAL,654,L ,WINE - LOW ALCOHOL,LOW ALCOHOL WINE,1287051,ROYAL WINE CORPORATION,D,02/28/2018
5101134,ARBOR MIST MELON,654,W ,WINE PRODUCT,WINE PRODUCT,3141135,CONSTELLATION BRANDS INC,D,02/28/2018
5101875,AUTUMN FROST PEACH CHARDONNAY,654,W,WINE PRODUCT,WINE PRODUCT W/PEACH AND NATURAL FLAV,3012978,DOYLE ACQUISITION CORPORATION,D,02/28/2018
5101876,AUTUMN FROST BLACKBERRY MERLOT,654,W,WINE PRODUCT,WINE PROD W/BLACKBRY AND NATURAL FLAV,3012978,DOYLE ACQUISITION CORPORATION,D,02/28/2018
5101877,AUTUMN FROST STRAWBERRY WHITE ZINFANDE,654,W,WINE PRODUCT,WINE PROD W/STRAWB AND NATURAL FLAV,3012978,DOYLE ACQUISITION CORPORATION,D,02/28/2018
